Transaction ID,Customer ID,Product ID,Quantity Sold,Unit Price,Total Price,Timestamp
78,20,29,3,57.69,173.07,2023-03-08 15:39:15
79,4,11,1,81.89,81.89,2023-05-05 11:52:52
80,34,12,3,47.61,142.83,2023-06-27 16:25:05
81,13,17,1,31.46,31.46,2023-04-22 05:34:59
82,29,12,3,47.16,141.48,2023-09-13 03:49:29
83,22,17,2,97.12,194.24,2023-07-05 07:34:27
84,36,17,1,85.42,85.42,2023-05-27 03:43:44
85,21,22,4,55.68,222.72,2023-05-23 08:28:55
86,47,9,5,48.93,244.65,2023-01-21 10:35:37
87,3,12,4,38.29,153.16,2023-08-16 18:42:18
88,7,6,2,66.86,133.72,2023-03-29 18:54:31
89,38,25,3,58.41,175.23,2023-11-09 06:26:15
90,37,25,3,16.38,49.14,2023-03-03 17:53:15
91,36,6,5,84.75,423.75,2023-04-16 19:10:44
92,50,4,2,46.83,93.66,2023-11-27 20:35:44
93,28,24,4,93.93,375.72,2023-09-04 13:16:47
94,3,23,4,17.5,70.0,2023-10-16 02:45:11
95,28,14,2,74.16,148.32,2023-09-13 17:01:51
96,10,8,4,80.92,323.68,2023-07-14 07:45:22
97,33,10,4,71.35,285.4,2023-08-20 08:29:59
98,11,28,3,84.31,252.93,2023-02-15 00:00:08
99,20,20,4,76.7,306.8,2023-05-04 19:26:04
100,19,3,2,53.61,107.22,2023-07-19 00:08:30
