Transaction_ID,Customer_ID,Product_ID,Quantity_Sold,Unit_Price,Total_Price,Timestamp
156,24,26,8,45.51,364.08,2023-05-12 02:28:02
157,11,12,9,32.03,288.27,2023-11-19 10:31:36
158,5,16,10,48.8,488.0,2023-06-13 08:48:10
159,13,10,2,10.59,21.18,2023-06-11 21:03:53
160,5,4,6,86.99,521.94,2023-11-20 21:47:55
161,25,23,3,73.97,221.91,2023-11-10 06:37:23
162,15,49,5,31.17,155.85,2023-01-15 17:44:33
163,9,26,3,69.81,209.43,2023-10-11 08:47:01
164,14,37,10,87.87,878.7,2023-12-18 11:59:54
165,10,38,4,27.12,108.48,2023-09-01 06:47:32
166,16,46,9,24.68,222.12,2023-01-13 11:20:05
167,25,25,6,51.09,306.54,2023-05-26 13:00:50
168,5,6,9,61.18,550.62,2023-01-07 00:54:32
169,25,22,9,22.46,202.14,2023-07-14 23:41:31
170,27,41,6,8.15,48.9,2023-10-12 23:23:56
171,11,22,3,84.54,253.62,2023-12-22 06:44:48
172,12,44,1,80.08,80.08,2023-01-31 09:07:58
173,30,34,8,95.93,767.44,2023-08-17 02:37:45
174,4,23,7,49.47,346.29,2023-09-19 14:38:38
175,13,32,4,41.02,164.08,2023-12-14 07:05:01
176,23,28,9,72.65,653.85,2023-10-05 15:24:04
177,28,23,9,40.1,360.9,2023-04-22 08:46:54
178,21,3,8,62.6,500.8,2023-02-23 11:26:37
179,13,10,8,85.48,683.84,2023-05-06 16:19:07
180,24,29,4,96.31,385.24,2023-04-21 05:50:36
181,19,43,2,17.17,34.34,2023-04-22 18:11:04
182,14,1,3,75.08,225.24,2023-01-10 08:12:38
183,19,4,3,58.57,175.71,2023-12-03 01:38:45
184,4,30,6,56.17,337.02,2023-03-30 06:04:02
185,19,26,8,56.6,452.8,2023-06-22 07:22:38
186,19,41,3,24.25,72.75,2023-01-17 22:16:55
187,6,37,9,99.6,896.4,2023-08-01 02:08:36
188,8,20,1,98.26,98.26,2023-10-10 05:42:09
189,11,30,1,69.7,69.7,2023-09-24 21:38:36
190,10,27,4,78.73,314.92,2023-03-08 20:08:41
191,21,2,1,97.66,97.66,2023-03-16 20:19:31
192,22,42,3,17.92,53.76,2023-09-10 15:56:39
193,28,49,7,51.84,362.88,2023-06-18 15:53:18
194,2,32,1,20.94,20.94,2023-08-31 21:42:43
195,11,30,8,13.16,105.28,2023-09-23 12:08:11
196,6,47,10,16.11,161.1,2023-06-14 07:54:48
197,8,29,10,27.19,271.9,2023-06-19 13:58:48
198,25,9,1,80.02,80.02,2023-03-17 22:18:10
199,11,40,1,93.02,93.02,2023-07-29 01:38:04
200,6,5,6,25.93,155.58,2023-02-15 11:12:14
201,7,1,3,11.96,35.88,2023-05-03 17:51:03
202,18,39,10,60.79,607.9,2023-06-20 23:01:28
203,19,12,8,68.2,545.6,2023-08-05 08:18:09
